,image,emotion,mouth_distance,average_distance,eye_brows,eye_size
0,Aaron_Peirsol_0003.jpg,0,96.9368256,66.52445923,-41,40.32688257
1,Aaron_Sorkin_0001.jpg,0,142.2404947,81.81614971,-33,43.46384863
2,Aaron_Sorkin_0002.jpg,0,138.6689321,75.3583782,-51,42.50237473
3,Abbas_Kiarostami_0001.jpg,1,50.03998401,51.6300157,-68,50.17185196
4,Abdel_Madi_Shabneh_0001.jpg,1,59.2888794,68.10317458,-30,48.30659588
5,Abdel_Nasser_Assidi_0001.jpg,1,62.55370685,59.17721794,-80,48.65043757
6,Abdel_Nasser_Assidi_0002.jpg,1,57.73475129,51.90626533,-51,44.36245033
7,Abdullah_0004.jpg,1,51.15974482,65.07092883,-48,41.51175189
8,Abdullah_Ahmad_Badawi_0001.jpg,0,90.49411242,66.03362524,-60,32.74052935
9,Abdullah_Gul_0001.jpg,1,75.38027645,72.58013409,-61,36.23323548
10,Abdullah_Gul_0002.jpg,0,96.41695904,48.00220088,-82,38.94594942
11,Abdullah_Gul_0004.jpg,0,113.1463656,59.26287583,-73,41.18872629
12,Abdullah_Gul_0007.jpg,1,94.74991855,71.93867534,-39,39.5759203
13,Abdullah_Gul_0008.jpg,1,90.01284183,58.37283965,-69,47.03294787
14,Abdullah_Gul_0009.jpg,1,80.14035461,58.42885243,-93,49.43327908
15,Abdullah_Gul_0010.jpg,1,79.70212421,55.81652663,-85,44.90511315
16,Abdullah_Gul_0011.jpg,1,117.649715,74.77896639,-50,38.69326801
17,Abdullah_Gul_0012.jpg,0,79.43873536,57.39616961,-84,41.46015443
18,Abdullah_Gul_0013.jpg,1,103.275832,65.85065709,-69,38.9076946
19,Abdullah_Gul_0017.jpg,1,67.41088234,53.51486551,-88,34.71246521
20,Abdullah_Gul_0019.jpg,1,66.96317563,65.96272179,-60,39.51482079
21,Abdullah_Nasseef_0001.jpg,2,89.46081277,72.70620657,-25,45.77724605
22,Abner_Martinez_0001.jpg,0,126.163631,70.43977802,-54,37.63947573
23,Aby_Har-Even_0001.jpg,1,68.34074687,66.19845387,-30,43.85202242
24,Adam_Rich_0001.jpg,1,70.40035112,70.63711849,-59,47.68755236
25,Adelina_Avila_0001.jpg,1,54.27012484,48.22948763,-33,42.97228824
26,Adel_Al-Jubeir_0001.jpg,1,57.10792285,59.74088006,-36,47.84030193
27,Adel_Al-Jubeir_0003.jpg,1,47.13594362,55.53162578,-33,44.16656377
28,Adolfo_Aguilar_Zinser_0001.jpg,1,57.38865541,71.37710238,-47,54.93340387
29,Adolfo_Aguilar_Zinser_0002.jpg,1,76.12777961,77.25400321,-59,49.62896345
30,Adolfo_Rodriguez_Saa_0001.jpg,0,114.9197771,76.00558279,-56,46.01259
31,Adolfo_Rodriguez_Saa_0002.jpg,0,158.3317151,67.5599343,-81,34.48186569
32,Adoor_Gopalakarishnan_0001.jpg,1,56.03636362,62.33144052,-36,43.84531592
33,Adrien_Brody_0002.jpg,1,49.45586216,60.73086083,-54,40.83370802
34,Adrien_Brody_0003.jpg,0,79.5314458,65.55997974,-50,42.24883578
35,Adrien_Brody_0006.jpg,0,126.8642041,79.84851846,-62,35.10885215
36,Adrien_Brody_0010.jpg,0,59.48319719,56.67898511,-63,30.5436108
37,Adrien_Brody_0011.jpg,0,97.98067627,70.31602077,-58,37.83606996
38,Afton_Smith_0001.jpg,0,131.601233,76.54808432,-42,45.43897111
39,Agbani_Darego_0001.jpg,1,64.30466469,67.2073304,-43,55.74460998
40,Agnes_Bruckner_0001.jpg,1,55.50669848,67.60802742,-23,57.70790278
41,Ahmad_Jbarah_0001.jpg,1,65.32144835,71.22038327,-35,53.0488021
42,Ahmed_Ahmed_0001.jpg,0,95.53873256,68.04006681,-54,42.06981346
43,Ahmed_Chalabi_0002.jpg,1,62.02292083,56.19550802,-39,40.17522881
44,Ahmed_Chalabi_0005.jpg,1,67.00792973,64.53204255,-34,45.40638454
45,Ahmed_Ibrahim_Bilal_0001.jpg,1,83.51132723,66.5558082,-82,49.02992899
